990,AOAMBG,Bistec,30,gr,30,30,36,7.2,0.8,0.0,ND,41.7,ND,ND,ND,ND,ND,ND,ND,14.1,ND,ND,ND,2.7,5.7,ND,ND,0.5,18.0
991,AOAMBG,Bistec de res,30,gr,30,30,36,7.2,0.8,0.0,ND,41.7,ND,ND,ND,ND,ND,ND,ND,14.1,ND,ND,ND,2.7,5.7,ND,ND,0.5,18.0
992,AOAMBG,Bola de ternera,35,gr,35,35,41,7.3,1.1,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,27.3,ND,ND,ND,1.8,3.2,ND,ND,0.3,22.1
993,AOAMBG,Boquerón crudo,45,gr,45,36,41,6.4,1.7,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,203.8,5.0,ND,ND,0.4,ND
994,AOAMBG,Boquillacrudo,75,gr,75,38,31,7.5,0.1,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,3.8,5.4,ND,ND,ND,ND
995,AOAMBG,Cabeza de pescado,400,gr,400,40,40,8.2,0.5,0.0,ND,12.2,ND,ND,ND,ND,ND,ND,ND,14.6,ND,ND,ND,12.7,5.6,ND,ND,0.1,25.4
996,AOAMBG,Cabrilla,75,gr,75,38,31,7.7,0.0,0.0,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,5.7,5.4,ND,ND,0.0,ND
997,AOAMBG,Cabrito,25,gr,25,25,36,6.8,0.8,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,18.8,ND,ND,ND,4.3,9.5,ND,ND,0.9,21.5
998,AOAMBG,Calamar americano,45,gr,45,45,41,7.0,0.6,1.4,ND,4.5,ND,ND,ND,ND,ND,ND,ND,104.8,ND,ND,ND,14.3,20.2,ND,ND,0.3,19.6
999,AOAMBG,Calamar crudo,45,gr,45,45,41,7.0,0.6,1.4,ND,4.5,ND,ND,ND,ND,ND,ND,ND,104.8,ND,ND,ND,14.3,20.2,ND,ND,0.3,19.6
1000,AOAMBG,Calamar fresco entero,45,gr,45,45,41,7.0,0.6,1.4,ND,4.5,ND,ND,ND,ND,ND,ND,ND,104.8,ND,ND,ND,14.3,20.2,ND,ND,0.3,19.6
1001,AOAMBG,Calamar fresco limpio,45,gr,45,45,42,8.1,0.6,1.4,ND,4.5,ND,ND,ND,ND,ND,ND,ND,104.8,ND,ND,ND,14.3,20.2,ND,ND,0.3,19.6
1002,AOAMBG,Camarón 16-20,2,pieza,50,40,34,7.1,0.7,0.4,ND,21.6,ND,ND,ND,ND,ND,ND,ND,60.7,ND,ND,ND,20.7,15.2,ND,ND,1.0,59.3
1003,AOAMBG,Camarón cocido,5,pieza,34,34,38,7.3,0.4,0.0,ND,23.1,ND,ND,ND,ND,ND,ND,ND,66.3,ND,ND,ND,13.3,13.5,ND,ND,1.1,76.2
1004,AOAMBG,Camarón crudo mediano,6,pieza,45,36,40,5.0,0.6,0.3,ND,19.5,ND,ND,ND,ND,ND,ND,ND,54.6,ND,ND,ND,18.6,13.7,ND,ND,0.9,53.4
1005,AOAMBG,Camarón de surimi,40,gr,40,40,32,6.5,0.6,3.7,ND,8.0,ND,ND,ND,ND,ND,ND,ND,14.4,ND,ND,ND,7.6,9.2,ND,ND,0.2,282.0
1006,AOAMBG,Camarón enlatado,1/4,taza,32,32,42,8.1,0.4,0.0,ND,0.0,ND,ND,ND,ND,ND,ND,ND,80.6,ND,ND,ND,46.4,15.2,ND,ND,0.7,248.6
1007,AOAMBG,Camarón gigante,2,pieza,50,40,38,7.3,0.7,0.4,ND,21.6,ND,ND,ND,ND,ND,ND,ND,60.7,ND,ND,ND,20.7,15.2,ND,ND,1.0,59.3
1008,AOAMBG,Camarón pacotilla,6,pieza,36,36,33,7.5,0.6,0.3,ND,19.4,ND,ND,ND,ND,ND,ND,ND,54.7,ND,ND,ND,18.7,13.7,ND,ND,0.9,53.3
1009,AOAMBG,Camarón seco,10,gr,10,9,33,7.5,0.2,0.5,ND,1.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,61.6,3.6,ND,ND,0.4,220.5
1010,AOAMBG,Camarón seco salado,10,gr,10,9,42,8.1,0.2,0.5,ND,1.4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,61.6,3.6,ND,ND,0.4,220.5
1011,AOAMBG,Camarón U15,2,pieza,50,40,37,7.6,0.7,0.4,ND,21.6,ND,ND,ND,ND,ND,ND,ND,60.7,ND,ND,ND,20.7,15.2,ND,ND,1.0,59.3
1012,AOAMBG,Cangrejo,2,pieza,42,42,41,8.1,0.4,0.0,ND,1.0,ND,ND,ND,ND,ND,ND,ND,32.6,ND,ND,ND,37.6,15.7,ND,ND,0.3,123.0
